campaign_id,campaign_name,age_group,gender,quarter,engagement_count,unique_users,engagement_rate
CAMP-001,Natsu Summer Campaign,18-24,Male,2025-Q3,23,20,0.253
CAMP-001,Natsu Summer Campaign,18-24,Male,2025-Q4,26,24,0.667
CAMP-001,Natsu Summer Campaign,18-24,Male,2026-Q1,26,22,0.4
CAMP-001,Natsu Summer Campaign,18-24,Female,2025-Q3,35,32,0.405
CAMP-001,Natsu Summer Campaign,18-24,Female,2025-Q4,39,30,0.349
CAMP-001,Natsu Summer Campaign,18-24,Female,2026-Q1,45,31,0.352
CAMP-001,Natsu Summer Campaign,18-24,Other,2025-Q3,20,17,0.304
CAMP-001,Natsu Summer Campaign,18-24,Other,2025-Q4,23,18,0.234
CAMP-001,Natsu Summer Campaign,18-24,Other,2026-Q1,42,39,0.722
CAMP-001,Natsu Summer Campaign,25-34,Male,2025-Q3,20,16,0.276
CAMP-001,Natsu Summer Campaign,25-34,Male,2025-Q4,37,27,0.355
CAMP-001,Natsu Summer Campaign,25-34,Male,2026-Q1,29,23,0.383
CAMP-001,Natsu Summer Campaign,25-34,Female,2025-Q3,24,17,0.298
CAMP-001,Natsu Summer Campaign,25-34,Female,2025-Q4,38,32,0.368
CAMP-001,Natsu Summer Campaign,25-34,Female,2026-Q1,34,31,0.517
CAMP-001,Natsu Summer Campaign,25-34,Other,2025-Q3,28,20,0.5
CAMP-001,Natsu Summer Campaign,25-34,Other,2025-Q4,19,17,0.515
CAMP-001,Natsu Summer Campaign,25-34,Other,2026-Q1,17,14,0.246
CAMP-001,Natsu Summer Campaign,35-44,Male,2025-Q3,22,16,0.552
CAMP-001,Natsu Summer Campaign,35-44,Male,2025-Q4,10,8,0.242
CAMP-001,Natsu Summer Campaign,35-44,Male,2026-Q1,17,13,0.565
CAMP-001,Natsu Summer Campaign,35-44,Female,2025-Q3,27,19,0.302
CAMP-001,Natsu Summer Campaign,35-44,Female,2025-Q4,32,24,0.545
CAMP-001,Natsu Summer Campaign,35-44,Female,2026-Q1,30,23,0.338
CAMP-001,Natsu Summer Campaign,35-44,Other,2025-Q3,20,17,0.246
CAMP-001,Natsu Summer Campaign,35-44,Other,2025-Q4,15,10,0.156
CAMP-001,Natsu Summer Campaign,35-44,Other,2026-Q1,16,14,0.583
CAMP-001,Natsu Summer Campaign,45-54,Male,2025-Q3,16,13,0.31
CAMP-001,Natsu Summer Campaign,45-54,Male,2025-Q4,8,7,0.318
CAMP-001,Natsu Summer Campaign,45-54,Male,2026-Q1,12,8,0.123
CAMP-001,Natsu Summer Campaign,45-54,Female,2025-Q3,9,8,0.182
CAMP-001,Natsu Summer Campaign,45-54,Female,2025-Q4,15,14,0.583
CAMP-001,Natsu Summer Campaign,45-54,Female,2026-Q1,11,7,0.146
CAMP-001,Natsu Summer Campaign,45-54,Other,2025-Q3,9,7,0.125
CAMP-001,Natsu Summer Campaign,45-54,Other,2025-Q4,7,6,0.133
CAMP-001,Natsu Summer Campaign,45-54,Other,2026-Q1,11,7,0.194
CAMP-001,Natsu Summer Campaign,55-65,Male,2025-Q3,8,7,0.318
CAMP-001,Natsu Summer Campaign,55-65,Male,2025-Q4,7,6,0.109
CAMP-001,Natsu Summer Campaign,55-65,Male,2026-Q1,12,8,0.364
CAMP-001,Natsu Summer Campaign,55-65,Female,2025-Q3,14,12,0.169
CAMP-001,Natsu Summer Campaign,55-65,Female,2025-Q4,15,11,0.268
CAMP-001,Natsu Summer Campaign,55-65,Female,2026-Q1,13,11,0.344
CAMP-001,Natsu Summer Campaign,55-65,Other,2025-Q3,8,5,0.091
CAMP-001,Natsu Summer Campaign,55-65,Other,2025-Q4,5,4,0.138
CAMP-001,Natsu Summer Campaign,55-65,Other,2026-Q1,5,4,0.071
CAMP-002,Winter Reward,18-24,Male,2025-Q3,16,14,0.275
CAMP-002,Winter Reward,18-24,Male,2025-Q4,9,7,0.226
CAMP-002,Winter Reward,18-24,Male,2026-Q1,11,8,0.19
CAMP-002,Winter Reward,18-24,Female,2025-Q3,15,13,0.206
CAMP-002,Winter Reward,18-24,Female,2025-Q4,14,12,0.167
CAMP-002,Winter Reward,18-24,Female,2026-Q1,13,9,0.155
CAMP-002,Winter Reward,18-24,Other,2025-Q3,8,7,0.104
CAMP-002,Winter Reward,18-24,Other,2025-Q4,14,12,0.387
CAMP-002,Winter Reward,18-24,Other,2026-Q1,12,9,0.209
CAMP-002,Winter Reward,25-34,Male,2025-Q3,16,14,0.341
CAMP-002,Winter Reward,25-34,Male,2025-Q4,21,16,0.421
CAMP-002,Winter Reward,25-34,Male,2026-Q1,22,18,0.429
CAMP-002,Winter Reward,25-34,Female,2025-Q3,9,8,0.235
CAMP-002,Winter Reward,25-34,Female,2025-Q4,17,15,0.208
CAMP-002,Winter Reward,25-34,Female,2026-Q1,20,16,0.302
CAMP-002,Winter Reward,25-34,Other,2025-Q3,21,14,0.275
