sale_id,user_id,sku,purchase_date,machine_id,machine_location
SAL-898FDB08,USR-74C8A93C,Water,2024-09-29,MACH-038,Hokkaido
SAL-9CB233C0,USR-2878820A,Georgia Coffee,2026-02-28,MACH-026,Aichi
SAL-65134307,USR-96DFBE54,Water,2024-08-14,MACH-037,Kyoto
SAL-C243C592,USR-EF376D1B,Coca-Cola,2025-04-03,MACH-044,Kyoto
SAL-154B5695,USR-4CB6EEDB,Georgia Coffee,2025-03-29,MACH-049,Tokyo
SAL-DB1797E4,USR-60BC4130,Georgia Coffee,2026-02-04,MACH-047,Tokyo
SAL-01954F99,USR-BEEAA1DA,Georgia Coffee,2025-02-18,MACH-004,Chiba
SAL-2ED55BF6,USR-438AE6D3,Water,2024-05-17,MACH-022,Hokkaido
SAL-A26A6D13,USR-7A6BB4B9,Water,2025-10-31,MACH-026,Aichi
SAL-F8F69BEB,USR-392AE2A3,Water,2024-03-31,MACH-041,Tokyo
SAL-B2C698EB,USR-989E627E,Coca-Cola,2025-06-05,MACH-032,Aichi
SAL-8197AE0A,USR-48F8D309,Coca-Cola,2025-03-20,MACH-028,Kanagawa
SAL-9B2D0712,USR-8AB59DF2,Coca-Cola,2026-01-06,MACH-025,Saitama
SAL-F0D4D72A,USR-82A5C3FD,Georgia Coffee,2024-12-28,MACH-016,Aichi
SAL-8BBD9201,USR-F3657B1A,Coca-Cola,2024-11-30,MACH-010,Hokkaido
SAL-CC385059,USR-4CB6EEDB,Georgia Coffee,2025-12-10,MACH-010,Hokkaido
SAL-7AE60F15,USR-C58E4128,Georgia Coffee,2025-03-05,MACH-007,Fukuoka
SAL-C7D6B07D,USR-66BABA34,Coca-Cola,2025-01-10,MACH-029,Fukuoka
SAL-96C7A527,USR-4058528B,Water,2024-06-13,MACH-033,Tokyo
SAL-3A15307D,USR-3D84F1C9,Georgia Coffee,2025-08-07,MACH-027,Saitama
SAL-827A37AE,USR-D382ABAD,Coca-Cola,2025-02-26,MACH-036,Kyoto
SAL-A54325F0,USR-866FFF9C,Georgia Coffee,2025-01-27,MACH-025,Saitama
SAL-608C1464,USR-54932096,Aquarius,2025-04-02,MACH-041,Tokyo
SAL-3A957494,USR-ECE9FAE8,Georgia Coffee,2024-11-04,MACH-037,Kyoto
SAL-FB47CFD8,USR-996747D1,Georgia Coffee,2025-03-25,MACH-011,Osaka
SAL-26079175,USR-6DB5391F,Georgia Coffee,2024-11-30,MACH-032,Aichi
SAL-3BECC3F0,USR-8E21F360,Georgia Coffee,2025-05-20,MACH-018,Chiba
SAL-862AC8DD,USR-ECD8EB36,Fanta,2024-05-18,MACH-024,Tokyo
SAL-40D1A1B1,USR-4020666C,Coca-Cola,2025-12-01,MACH-032,Aichi
SAL-0C2016CF,USR-D19F0690,Coca-Cola,2025-06-12,MACH-007,Fukuoka
SAL-213349A2,USR-B4A6A8DD,Coca-Cola,2025-04-10,MACH-022,Hokkaido
SAL-EF29884D,USR-3E9B8D02,Georgia Coffee,2025-02-01,MACH-029,Fukuoka
SAL-81D9B14A,USR-D19F0690,Georgia Coffee,2025-12-27,MACH-039,Hokkaido
SAL-0155D34F,USR-01888C2F,Georgia Coffee,2025-11-08,MACH-045,Tokyo
SAL-363215F7,USR-79BCE8A8,Coca-Cola,2024-08-29,MACH-026,Aichi
SAL-AC7419BE,USR-BBDE6D92,Fanta,2026-02-10,MACH-041,Tokyo
SAL-7E1E4E29,USR-2D3A7D6E,Georgia Coffee,2024-11-04,MACH-021,Fukuoka
SAL-1B69F124,USR-A8424D17,Fanta,2025-04-07,MACH-024,Tokyo
SAL-9DA1A2B7,USR-B88D2C5B,Georgia Coffee,2024-09-21,MACH-038,Hokkaido
SAL-1D510917,USR-C0550C06,Water,2025-09-15,MACH-002,Hyogo
SAL-D49E6533,USR-A72F7B80,Coca-Cola,2026-02-24,MACH-014,Aichi
SAL-F4C2A36A,USR-A6978FE4,Water,2026-02-08,MACH-005,Saitama
SAL-4F184B23,USR-86EF74E8,Georgia Coffee,2025-04-23,MACH-044,Kyoto
SAL-CBB54290,USR-B7C18AEF,Coca-Cola,2025-01-05,MACH-016,Aichi
SAL-C3D7F507,USR-20FB714E,Coca-Cola,2025-05-08,MACH-025,Saitama
SAL-5A8089A0,USR-6AE68BC1,Georgia Coffee,2025-11-03,MACH-031,Tokyo
SAL-BEA74E37,USR-098DA84F,Water,2025-08-01,MACH-045,Tokyo
SAL-28B3787B,USR-11E1C4DE,Water,2025-03-04,MACH-045,Tokyo
SAL-25764160,USR-4EA2F8E2,Georgia Coffee,2025-10-30,MACH-041,Tokyo
SAL-260E23C0,USR-FC7DFEF6,Georgia Coffee,2024-11-10,MACH-043,Chiba
SAL-A4279337,USR-E3A158EB,Georgia Coffee,2025-12-23,MACH-040,Aichi
SAL-5D779FBE,USR-CECFCAAD,Georgia Coffee,2025-12-21,MACH-044,Kyoto
SAL-36C90AB2,USR-DA40442E,Georgia Coffee,2025-02-03,MACH-028,Kanagawa
SAL-0B7F5612,USR-267DAB8F,Coca-Cola,2024-11-20,MACH-015,Tokyo
SAL-D9FE08B2,USR-8520327C,Coca-Cola,2025-09-23,MACH-038,Hokkaido
SAL-F0A64D0A,USR-E8E1B153,Coca-Cola,2025-05-31,MACH-024,Tokyo
